Player,Team,Opponent,PropType,Line,Odds,Sportsbook,Direction,ModelProb
Luka Garza,Boston Celtics,Philadelphia 76ers,Assists,0.5,-103,DraftKings,UNDER,
Ron Harper Jr.,FA,Boston Celtics,Assists,1.5,129,DraftKings,OVER,
Ron Harper Jr.,FA,Boston Celtics,Assists,1.5,-170,DraftKings,UNDER,
Jaylen Brown,Boston Celtics,Philadelphia 76ers,Assists,5.5,106,FanDuel,OVER,
Jaylen Brown,Boston Celtics,Philadelphia 76ers,Assists,4.5,-159,DraftKings,OVER,
Jaylen Brown,Boston Celtics,Philadelphia 76ers,Assists,5.5,108,BetMGM,OVER,
Jaylen Brown,Boston Celtics,Philadelphia 76ers,Assists,5.5,-136,FanDuel,UNDER,
Jaylen Brown,Boston Celtics,Philadelphia 76ers,Assists,4.5,120,DraftKings,UNDER,
Jaylen Brown,Boston Celtics,Philadelphia 76ers,Assists,5.5,-148,BetMGM,UNDER,
Neemias Queta,Boston Celtics,Philadelphia 76ers,Assists,1.5,166,DraftKings,OVER,
Neemias Queta,Boston Celtics,Philadelphia 76ers,Assists,1.5,-221,DraftKings,UNDER,
Joel Embiid,Philadelphia 76ers,Boston Celtics,Assists,5.5,-104,FanDuel,OVER,
Joel Embiid,Philadelphia 76ers,Boston Celtics,Assists,5.5,113,DraftKings,OVER,
Joel Embiid,Philadelphia 76ers,Boston Celtics,Assists,5.5,-103,BetMGM,OVER,
Joel Embiid,Philadelphia 76ers,Boston Celtics,Assists,5.5,-122,FanDuel,UNDER,
Joel Embiid,Philadelphia 76ers,Boston Celtics,Assists,5.5,-149,DraftKings,UNDER,
Joel Embiid,Philadelphia 76ers,Boston Celtics,Assists,5.5,-134,BetMGM,UNDER,
Paul George,Philadelphia 76ers,Boston Celtics,Assists,3.5,102,FanDuel,OVER,
Paul George,Philadelphia 76ers,Boston Celtics,Assists,3.5,100,DraftKings,OVER,
Paul George,Philadelphia 76ers,Boston Celtics,Assists,3.5,110,BetMGM,OVER,
Paul George,Philadelphia 76ers,Boston Celtics,Assists,3.5,-130,FanDuel,UNDER,
Paul George,Philadelphia 76ers,Boston Celtics,Assists,3.5,-132,DraftKings,UNDER,
Paul George,Philadelphia 76ers,Boston Celtics,Assists,3.5,-152,BetMGM,UNDER,
Nikola Vucevic,Boston Celtics,Philadelphia 76ers,Assists,1.5,132,DraftKings,OVER,
Nikola Vucevic,Boston Celtics,Philadelphia 76ers,Assists,1.5,-175,DraftKings,UNDER,
Kelly Oubre Jr.,Philadelphia 76ers,Boston Celtics,Assists,1.5,167,DraftKings,OVER,
Kelly Oubre Jr.,Philadelphia 76ers,Boston Celtics,Assists,1.5,-224,DraftKings,UNDER,
Sam Hauser,Boston Celtics,Philadelphia 76ers,Assists,0.5,-193,DraftKings,OVER,
Sam Hauser,Boston Celtics,Philadelphia 76ers,Assists,0.5,146,DraftKings,UNDER,
Payton Pritchard,Boston Celtics,Philadelphia 76ers,Assists,4.5,-146,DraftKings,OVER,
Payton Pritchard,Boston Celtics,Philadelphia 76ers,Assists,5.5,-105,BetMGM,OVER,
Payton Pritchard,Boston Celtics,Philadelphia 76ers,Assists,4.5,111,DraftKings,UNDER,
Payton Pritchard,Boston Celtics,Philadelphia 76ers,Assists,5.5,-130,BetMGM,UNDER,
Derrick White,Boston Celtics,Philadelphia 76ers,3-Pointers,2.5,112,FanDuel,OVER,
Derrick White,Boston Celtics,Philadelphia 76ers,3-Pointers,2.5,115,DraftKings,OVER,
Derrick White,Boston Celtics,Philadelphia 76ers,3-Pointers,2.5,110,BetMGM,OVER,
Derrick White,Boston Celtics,Philadelphia 76ers,3-Pointers,2.5,-142,FanDuel,UNDER,
Derrick White,Boston Celtics,Philadelphia 76ers,3-Pointers,2.5,-151,DraftKings,UNDER,
Derrick White,Boston Celtics,Philadelphia 76ers,3-Pointers,2.5,-150,BetMGM,UNDER,
Jayson Tatum,Boston Celtics,Philadelphia 76ers,3-Pointers,2.5,-136,FanDuel,OVER,
Jayson Tatum,Boston Celtics,Philadelphia 76ers,3-Pointers,2.5,-149,DraftKings,OVER,
Jayson Tatum,Boston Celtics,Philadelphia 76ers,3-Pointers,2.5,-159,BetMGM,OVER,
Jayson Tatum,Boston Celtics,Philadelphia 76ers,3-Pointers,2.5,110,FanDuel,UNDER,
Jayson Tatum,Boston Celtics,Philadelphia 76ers,3-Pointers,2.5,113,DraftKings,UNDER,
Jayson Tatum,Boston Celtics,Philadelphia 76ers,3-Pointers,2.5,118,BetMGM,UNDER,
Jaylen Brown,Boston Celtics,Philadelphia 76ers,3-Pointers,1.5,-184,FanDuel,OVER,
Jaylen Brown,Boston Celtics,Philadelphia 76ers,3-Pointers,1.5,-185,DraftKings,OVER,
Jaylen Brown,Boston Celtics,Philadelphia 76ers,3-Pointers,1.5,-182,BetMGM,OVER,
Jaylen Brown,Boston Celtics,Philadelphia 76ers,3-Pointers,1.5,142,FanDuel,UNDER,
Jaylen Brown,Boston Celtics,Philadelphia 76ers,3-Pointers,1.5,139,DraftKings,UNDER,
Jaylen Brown,Boston Celtics,Philadelphia 76ers,3-Pointers,1.5,133,BetMGM,UNDER,
Kelly Oubre Jr.,Philadelphia 76ers,Boston Celtics,3-Pointers,1.5,136,FanDuel,OVER,
Kelly Oubre Jr.,Philadelphia 76ers,Boston Celtics,3-Pointers,1.5,146,DraftKings,OVER,
Kelly Oubre Jr.,Philadelphia 76ers,Boston Celtics,3-Pointers,1.5,145,BetMGM,OVER,
Kelly Oubre Jr.,Philadelphia 76ers,Boston Celtics,3-Pointers,1.5,-174,FanDuel,UNDER,
Kelly Oubre Jr.,Philadelphia 76ers,Boston Celtics,3-Pointers,1.5,-194,DraftKings,UNDER,
Kelly Oubre Jr.,Philadelphia 76ers,Boston Celtics,3-Pointers,1.5,-205,BetMGM,UNDER,
Sam Hauser,Boston Celtics,Philadelphia 76ers,3-Pointers,1.5,-141,DraftKings,OVER,
Sam Hauser,Boston Celtics,Philadelphia 76ers,3-Pointers,2.5,125,BetMGM,OVER,
Sam Hauser,Boston Celtics,Philadelphia 76ers,3-Pointers,1.5,107,DraftKings,UNDER,
Sam Hauser,Boston Celtics,Philadelphia 76ers,3-Pointers,2.5,-175,BetMGM,UNDER,
